TransactionAmount,TransactionType,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Location_Atlanta,Location_Austin,Location_Baltimore,Location_Boston,Location_Charlotte,Location_Chicago,Location_Colorado Springs,Location_Columbus,Location_Dallas,Location_Denver,Location_Detroit,Location_El Paso,Location_Fort Worth,Location_Fresno,Location_Houston,Location_Indianapolis,Location_Jacksonville,Location_Kansas City,Location_Las Vegas,Location_Los Angeles,Location_Louisville,Location_Memphis,Location_Mesa,Location_Miami,Location_Milwaukee,Location_Nashville,Location_New York,Location_Oklahoma City,Location_Omaha,Location_Philadelphia,Location_Phoenix,Location_Portland,Location_Raleigh,Location_Sacramento,Location_San Antonio,Location_San Diego,Location_San Francisco,Location_San Jose,Location_Seattle,Location_Tucson,Location_Virginia Beach,Location_Washington,TransactionYear,TransactionMonth,TransactionDay,TransactionHour,PrevTransactionYear,PrevTransactionMonth,PrevTransactionDay,PrevTransactionHour,Kelompok_CustomerAge,Kelompok_TransactionAmount,Kelompok_AccountBalance,Cluster
14.09,0,14,70,81,1,5112.21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2023,4,11,16,2024,11,4,8,Lansia,Rendah,Tinggi,0
376.24,0,51,68,141,1,13758.91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,6,27,16,2024,11,4,8,Lansia,Tinggi,Sangat Tinggi,2
126.29,0,8,19,56,1,1122.35,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,7,10,18,2024,11,4,8,Muda,Sedang,Rendah,1
184.5,0,1,26,25,1,8569.06,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2023,5,5,16,2024,11,4,8,Dewasa,Sedang,Sangat Tinggi,0
13.45,1,90,26,198,1,7429.4,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,16,17,2024,11,4,8,Dewasa,Rendah,Tinggi,0
92.15,0,53,18,172,1,781.68,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,4,3,17,2024,11,4,8,Muda,Sedang,Rendah,1
7.08,1,18,37,139,1,13316.71,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2023,2,15,16,2024,11,4,8,Dewasa,Rendah,Sangat Tinggi,2
171.42,1,19,67,291,1,2796.24,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,5,8,17,2024,11,4,8,Lansia,Sedang,Sedang,1
106.23,1,34,51,86,1,9095.14,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,3,21,16,2024,11,4,8,Paruh Baya,Sedang,Sangat Tinggi,2
815.96,0,6,55,120,1,1021.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,3,31,16,2024,11,4,8,Paruh Baya,Sangat Tinggi,Rendah,1
17.78,1,72,52,59,1,7599.52,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,3,14,16,2024,11,4,8,Paruh Baya,Rendah,Tinggi,0
190.02,0,29,21,173,1,1528.81,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,2,6,17,2024,11,4,8,Muda,Sedang,Sedang,1
494.52,1,56,24,111,1,1620.02,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,6,7,17,2024,11,4,8,Muda,Sangat Tinggi,Sedang,1
781.76,0,24,26,123,1,189.69,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,11,20,16,2024,11,4,8,Dewasa,Sangat Tinggi,Rendah,1
166.99,0,16,18,134,1,299.93,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,2,13,16,2024,11,4,8,Muda,Sedang,Rendah,1
465.45,0,24,36,129,1,3465.54,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,12,12,16,2024,11,4,8,Dewasa,Sangat Tinggi,Sedang,1
555.8,1,47,19,158,1,1131.26,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,30,16,2024,11,4,8,Muda,Sangat Tinggi,Rendah,1
492.93,0,58,39,234,1,5109.97,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,12,14,18,2024,11,4,8,Dewasa,Sangat Tinggi,Tinggi,0
18.68,1,53,59,106,1,7948.37,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,2,21,16,2024,11,4,8,Lansia,Rendah,Sangat Tinggi,0
71.48,1,38,18,169,1,6568.59,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,6,8,18,2024,11,4,8,Muda,Rendah,Tinggi,0
59.32,0,39,71,38,1,5750.89,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,2,28,16,2024,11,4,8,Lansia,Rendah,Tinggi,0
85.77,0,64,38,93,1,9146.19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,8,11,18,2024,11,4,8,Dewasa,Sedang,Sangat Tinggi,2
52.2,0,21,39,120,1,8974.93,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,6,6,18,2024,11,4,8,Dewasa,Rendah,Sangat Tinggi,0
345.84,0,82,22,142,3,1402.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,5,2,18,2024,11,4,8,Muda,Tinggi,Rendah,1
145.54,0,27,21,96,1,1930.96,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2023,3,2,16,2024,11,4,8,Muda,Sedang,Sedang,1
7.49,1,42,65,276,1,3634.67,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,10,20,17,2024,11,4,8,Lansia,Rendah,Sedang,1
246.93,0,28,23,158,5,673.35,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,4,17,16,2024,11,4,8,Muda,Tinggi,Rendah,1
40.32,0,7,37,95,1,2686.52,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,3,29,16,2024,11,4,8,Dewasa,Rendah,Sedang,1
127.45,0,91,44,197,1,1772.06,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,1,24,16,2024,11,4,8,Paruh Baya,Sedang,Sedang,1
56.17,0,42,27,283,1,1351.69,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,9,20,16,2024,11,4,8,Dewasa,Rendah,Rendah,1
28.31,1,90,59,20,1,8334.47,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,7,17,17,2024,11,4,8,Lansia,Rendah,Sangat Tinggi,0
59.12,0,52,29,257,1,9823.64,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,2,6,16,2024,11,4,8,Dewasa,Rendah,Sangat Tinggi,2
396.45,0,6,49,168,3,9690.15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,9,25,16,2024,11,4,8,Paruh Baya,Tinggi,Sangat Tinggi,2
